Date,ECH,EIDO,EIRL,EIS,ENZL,EPHE,EPOL,EPU,ERUS,EWA,EWC,EWD,EWG,EWH,EWI,EWJ,EWK,EWL,EWM,EWN,EWO,EWP,EWQ,EWS,EWT,EWU,EWW,EWY,EWZ,EZA,FXI,THD,TUR
6/13/2011,64.048538,27.412521,19.715107,46.208324,22.513376,22.363695,29.710758,34.742718,44.543209,17.105051,25.828398,23.581758,21.933247,14.433644,28.595707,35.810856,11.116985,22.465225,42.17115,18.004463,18.283472,28.555864,21.549501,20.462496,24.802967,26.570807,51.673687,55.058647,57.913841,55.242702,35.36742,51.014339,51.616199
6/14/2011,63.952183,27.742365,19.750252,47.139263,22.727856,22.241697,30.313704,34.433655,45.287144,17.549511,26.299379,24.087133,22.410057,14.566278,29.260729,36.527061,11.297428,22.597811,42.48354,18.348282,18.723843,29.140911,22.010584,20.613287,25.229191,26.868855,52.560112,56.446159,58.533981,55.789181,35.790634,52.276257,50.793995
6/15/2011,62.760914,27.519501,19.750252,45.463581,22.25738,22.166618,29.107817,33.669601,44.202244,17.064644,25.761112,22.920307,21.665564,14.301013,27.800932,35.810856,10.905157,22.009455,42.14275,17.669027,18.071444,27.699192,21.128866,20.236311,24.75379,26.108835,51.821426,55.279591,57.543365,54.395256,35.135067,51.234158,48.792461
6/16/2011,62.17403,27.189653,18.959541,45.277386,22.195114,22.185389,28.782551,32.87981,44.155739,16.909758,25.483572,22.786533,21.632105,14.199583,27.78471,35.703419,10.842393,21.968023,42.199543,17.585163,17.924656,27.692219,21.072235,20.055361,24.491495,25.855495,51.465118,54.793518,56.83466,53.975498,34.919315,51.242302,48.659592
6/17/2011,62.909821,27.296633,19.354895,45.582058,22.423431,22.194775,29.298216,32.931316,43.659786,17.111786,25.433104,23.18786,21.991804,14.199583,28.352413,35.810856,11.062066,21.943165,42.852699,17.920599,18.218235,28.785707,21.46052,20.070436,24.458708,26.064125,51.491184,54.713978,57.092384,54.537823,34.919315,51.06319,49.664494
6/20/2011,62.953625,27.359034,19.354895,45.235073,22.430349,22.166618,29.044353,32.596516,43.44281,16.99057,25.508799,22.994629,22.058725,14.020143,28.125336,35.846664,11.02284,22.009455,42.710716,17.845131,18.055134,28.562828,21.411982,20.160912,24.294775,26.108835,51.743221,54.395821,57.382313,54.815014,34.811428,50.85965,49.24094
6/21/2011,64.293785,27.778023,19.609682,46.411442,22.637913,22.635855,29.298216,32.939892,44.155739,17.293612,26.114351,23.722967,22.644279,14.183981,28.968763,36.455448,11.179745,22.340927,43.079895,18.22249,18.487349,29.363783,21.970137,20.537895,24.655428,26.585705,52.290714,55.739151,57.76889,56.216885,35.347977,52.211124,49.789082
6/22/2011,64.182892,27.809401,19.874136,46.359936,22.478201,22.477192,28.908512,32.321804,43.78706,17.153177,26.060165,23.17602,22.424667,14.110466,28.477825,36.412098,11.01453,22.114372,42.772938,17.910454,18.231049,28.981819,21.780666,20.2917,24.425922,26.211258,52.344105,55.469971,57.853916,54.587051,34.681507,51.458286,48.775387
6/23/2011,63.694839,28.00663,19.562489,45.716045,22.569265,22.514969,28.549156,32.459164,43.190884,17.057278,25.763838,22.715109,22.158728,14.142088,28.013426,36.339855,10.910769,21.919941,42.715561,17.636877,17.98222,28.484819,21.459389,20.352867,24.327564,25.923223,52.134037,55.336716,57.093452,54.514885,34.816486,51.160454,49.231552
6/24/2011,63.490742,27.818367,18.965906,45.492828,22.219025,22.496078,28.421379,32.399052,42.924183,16.879166,25.399773,22.246525,21.755527,14.18161,27.101204,36.556587,10.743157,21.835405,42.313934,17.406052,17.650442,27.639933,21.121645,20.23053,23.934126,25.726147,51.915203,55.532158,56.889008,53.689156,35.128628,50.639252,48.910553
